rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs
037,40986,2719,7.92591,1060.7,734,421.117,1,668,64217,217.467,114.072,497.972,3155.74,1,447,3600,727
038,18559,2367,7.87946,476.856,213,356.888,1,555,32523.2,239.609,83.9883,637.363,6504.94,1,449,3600,-1
038,23519,2421,8.08024,606.628,281,417.98,1,677,64028.7,231.846,106.268,1785.9,11672.9,1,453,3600,213
038,31999,2237,7.96926,833.793,658,222.643,1,372,16089.5,182.057,69.1048,487.105,3762.45,1,450,3600,281
039,7710,1585,8.11186,199.217,45,191.274,1,313,8581.68,170.754,51.6606,455.346,4577.54,1,485,3600,-1
039,7905,1432,8.04624,205.248,80,172.64,1,266,8254.31,171.299,54.4902,1356.85,12332,1,452,3600,45
039,31611,2223,7.84208,839.358,720,184.685,1,263,5912.15,195.919,81.6456,564.061,5138.28,1,398,3600,80
040,34522,2325,7.9581,898.72,627,296.689,1,555,44412.1,193.398,73.0429,697.678,5342.6,1,448,3600,-1
040,38778,2372,8.04283,1013.44,819,234.195,1,409,19408.5,177.693,51.5786,1777.94,12657.6,1,462,3600,627
040,44057,2607,7.83139,1109.7,888,245.636,1,479,33919.2,380.966,143.559,1440.12,32787.7,1,425,3600,819
041,10468,1711,8.01508,277.609,43,241.073,1,466,21910.4,194.297,87.3117,954.687,5987.47,1,446,3600,-1
041,12400,1775,7.94955,328.42,141,240.651,1,390,18891.1,207.22,80.4697,928.803,10384.1,1,434,3600,43
041,18592,1853,7.91608,497.376,300,239.177,1,405,24926.8,198.971,74.6504,2073.5,14244.5,1,421,3600,141
041,21878,1937,8.04241,592.641,463,184.475,1,281,8186.05,158.267,54.3961,420.428,3544.24,1,477,3600,300
041,39970,2743,8.05477,1071.22,809,290.886,1,551,30566.2,213.826,80.8199,659.63,5583.62,1,455,3600,463
042,7849,1405,7.95848,198.149,79,166.475,1,254,6610.79,172.477,56.1921,476.599,4419.71,1,427,3600,-1
042,18530,2038,7.94291,479.786,265,286.582,1,453,22359.6,212.35,96.2332,523.328,4310.13,1,433,3600,79
042,39547,2695,7.84556,1022.2,763,345.689,1,543,44132,243.557,98.2844,1239.37,13628.2,1,415,3600,265
043,15226,1931,8.05456,409.822,278,191.036,1,264,6357.24,189.755,75.6134,2532.87,16625.2,1,460,3600,-1
043,15616,1856,8.10423,421.03,287,199.302,1,287,7604.43,177.556,67.3054,545.583,5034.19,1,462,3600,278
043,20004,1952,7.99093,542.388,309,248.337,1,474,22928.3,197.502,61.0847,457.374,5099.05,1,445,3600,287
043,20555,1817,7.94666,561.444,397,208.813,1,356,15960.5,177.518,59.3934,969.726,7058.04,1,430,3600,309
043,41314,2234,7.97915,1114.24,1026,125.503,1,193,3353.43,155.131,49.8121,580.845,5641.39,1,439,3600,397
044,20832,1922,8.17856,541.857,338,274.672,1,426,26787.8,176.015,65.5841,620.491,5643.01,1,499,3600,-1
044,34767,2165,7.88644,898.766,705,210.685,1,404,23575.8,184.292,57.2845,1861.91,12678.9,1,420,3600,338
044,38141,2383,8.01013,981.729,849,152.499,1,278,6195.39,186.108,46.2621,3134.78,26799.9,1,449,3600,705
044,38296,2215,7.9786,985.165,869,155.979,1,251,5746.49,168.928,64.0252,891.729,6589.3,1,456,3600,849
045,7956,1576,8.12741,207.405,51,209.497,1,341,13308.8,166.37,59.1794,569.44,4708.88,1,483,3600,-1
045,26502,2040,7.95283,696.343,516,211.016,1,373,15384.1,188.256,55.1005,613.321,4404.22,1,439,3600,51
045,30818,2257,7.9195,810.633,555,260.054,1,514,23538.9,209.262,59.7477,1182.76,10246.1,1,422,3600,516
045,31163,2251,7.91434,820.663,657,226.474,1,346,13775.1,192.247,61.5324,845.357,8010.02,1,449,3600,555
045,33942,2207,8.03458,893.851,678,259.407,1,456,27357,183.951,65.8488,835.669,6258.48,1,444,3600,657
046,13077,1653,7.99974,352.175,224,171.795,1,270,8137.99,167.206,60.2903,783.532,6146.59,1,461,3600,-1
046,35966,2502,7.88416,952.399,697,330.709,1,534,37301.3,218.577,95.9089,973.141,5925.35,1,430,3600,224
047,17146,2146,8.06507,449.008,159,388.173,1,597,47336.7,209.756,85.4238,571.668,4019.64,1,473,3600,-1
047,26546,2063,7.91055,698.435,447,295.085,1,518,41997,195.575,80.0471,626.964,4633.56,1,435,3600,159
047,30711,2021,8.0929,809.945,692,155.895,1,245,5515.52,154.485,41.8648,640.156,5201.04,1,479,3600,447
047,31808,2003,7.82186,842.98,720,156.363,1,264,7659.3,167.033,48.2743,649.235,5336.82,1,430,3600,692
047,41243,2602,7.97924,1084.81,839,314.66,1,511,36425.5,206.029,78.2617,1849.8,10228,1,445,3600,720
047,53670,3484,7.74678,1186.32,889,400.316,1,651,43050.6,641.17,294.636,1578.72,50866.2,1,434,3600,839
047,93179,4031,7.89844,1471.05,1050,581.484,1,893,94230.8,921.84,476.21,2614.25,107258,1,445,3600,889
048,32641,2289,7.91112,831.597,664,199.444,1,347,13211,208.951,44.3441,1788.53,15360.1,1,425,3600,-1
048,36706,2467,8.04447,937.474,774,232.667,1,342,12545.4,183.881,68.7178,602.502,5130.16,1,461,3600,664
049,17864,1989,8.00975,465.658,243,288.666,1,460,25202.2,206.056,79.806,647.88,6606.3,1,454,3600,-1
049,34245,2600,7.96084,906.842,579,436.554,1,669,65764.9,231.743,119.151,1407.19,7745.18,1,441,3600,243
049,48413,3070,7.6132,1160.13,860,385.23,1,628,41019,580.601,254.76,1684.23,72732.8,1,422,3600,579
050,9167,1617,8.09605,236.562,68,216.913,1,352,13559.7,172.118,67.0135,591.79,5327.07,1,478,3600,-1
050,15531,1974,7.87842,406.385,133,263.468,1,552,26923.1,225.013,73.1516,1120,9625.65,1,419,3600,68
050,16194,1870,8.09492,423.676,259,218.835,1,349,13615.2,190.085,57.9502,476.974,5873.31,1,451,3600,133
050,21436,1840,7.98218,554.61,408,206.122,1,317,10562.3,178.627,61.7048,412.683,3692.02,1,435,3600,259
050,39755,2739,7.98236,1023.24,731,295.887,1,602,48095.2,235.727,70.9355,983.506,13848.2,1,438,3600,408
